id,species,symptoms,disease
1,dog,fever;lethargy;diarrhea;loss_of_appetite;vomiting,Parvovirus
2,dog,loss_of_appetite;diarrhea;lethargy;fever;vomiting,Parvovirus
3,dog,diarrhea;fever;vomiting,Parvovirus
4,dog,diarrhea;loss_of_appetite;fever;vomiting;lethargy,Parvovirus
5,dog,diarrhea;lethargy;fever,Parvovirus
6,dog,fever;loss_of_appetite;diarrhea;vomiting;lethargy,Parvovirus
7,dog,loss_of_appetite;fever;diarrhea;lethargy;vomiting,Parvovirus
8,dog,lethargy;fever;loss_of_appetite;diarrhea;vomiting,Parvovirus
9,dog,diarrhea;loss_of_appetite;fever;vomiting;lethargy,Parvovirus
10,dog,fever;lethargy;diarrhea;vomiting;loss_of_appetite,Parvovirus
11,dog,loss_of_appetite;vomiting;diarrhea,Parvovirus
12,dog,loss_of_appetite;lethargy;vomiting;diarrhea,Parvovirus
13,dog,loss_of_appetite;fever;lethargy;diarrhea,Parvovirus
14,dog,loss_of_appetite;lethargy;fever,Parvovirus
15,dog,fever;lethargy;loss_of_appetite;vomiting;diarrhea,Parvovirus
16,dog,lethargy;fever;diarrhea,Parvovirus
17,dog,diarrhea;lethargy;loss_of_appetite,Parvovirus
18,dog,loss_of_appetite;fever;diarrhea;vomiting,Parvovirus
19,dog,fever;lethargy;diarrhea;loss_of_appetite;vomiting,Parvovirus
20,dog,fever;vomiting;loss_of_appetite;diarrhea;lethargy,Parvovirus
21,dog,diarrhea;lethargy;vomiting,Parvovirus
22,dog,loss_of_appetite;vomiting;lethargy;fever;diarrhea,Parvovirus
23,dog,diarrhea;lethargy;vomiting;loss_of_appetite,Parvovirus
24,dog,diarrhea;vomiting;fever,Parvovirus
25,dog,diarrhea;vomiting;lethargy;fever,Parvovirus
26,dog,vomiting;loss_of_appetite;diarrhea,Parvovirus
27,dog,loss_of_appetite;lethargy;diarrhea;fever;vomiting,Parvovirus
28,dog,vomiting;loss_of_appetite;diarrhea;lethargy,Parvovirus
29,dog,lethargy;fever;loss_of_appetite,Parvovirus
30,dog,loss_of_appetite;diarrhea;lethargy;fever,Parvovirus
31,dog,vomiting;diarrhea;fever,Parvovirus
32,dog,diarrhea;fever;loss_of_appetite;lethargy,Parvovirus
33,dog,diarrhea;vomiting;lethargy;loss_of_appetite;fever,Parvovirus
34,dog,vomiting;diarrhea;fever,Parvovirus
35,dog,lethargy;vomiting;loss_of_appetite,Parvovirus
36,dog,vomiting;diarrhea;lethargy;loss_of_appetite;fever,Parvovirus
37,dog,vomiting;fever;lethargy;diarrhea,Parvovirus
38,dog,vomiting;loss_of_appetite;fever,Parvovirus
39,dog,fever;diarrhea;loss_of_appetite;vomiting,Parvovirus
40,dog,lethargy;diarrhea;loss_of_appetite;vomiting,Parvovirus
41,dog,lethargy;vomiting;diarrhea,Parvovirus
42,dog,diarrhea;lethargy;fever;loss_of_appetite;vomiting,Parvovirus
43,dog,lethargy;fever;vomiting;loss_of_appetite,Parvovirus
44,dog,vomiting;diarrhea;lethargy;loss_of_appetite;fever,Parvovirus
45,dog,fever;diarrhea;vomiting,Parvovirus
46,dog,fever;loss_of_appetite;lethargy,Parvovirus
47,dog,vomiting;diarrhea;lethargy;loss_of_appetite,Parvovirus
48,dog,diarrhea;lethargy;loss_of_appetite,Parvovirus
49,dog,diarrhea;fever;lethargy,Parvovirus
50,dog,lethargy;fever;loss_of_appetite,Parvovirus
51,dog,fever;lethargy;vomiting;diarrhea;loss_of_appetite,Parvovirus
52,dog,lethargy;loss_of_appetite;diarrhea;vomiting;fever,Parvovirus
53,dog,diarrhea;loss_of_appetite;lethargy;vomiting,Parvovirus
54,dog,vomiting;loss_of_appetite;lethargy;diarrhea;fever,Parvovirus
55,dog,fever;diarrhea;loss_of_appetite,Parvovirus
56,dog,vomiting;lethargy;loss_of_appetite,Parvovirus
57,dog,lethargy;loss_of_appetite;fever;diarrhea;vomiting,Parvovirus
58,dog,vomiting;diarrhea;fever;loss_of_appetite;lethargy,Parvovirus
59,dog,lethargy;fever;diarrhea,Parvovirus
60,dog,fever;diarrhea;vomiting;lethargy;loss_of_appetite,Parvovirus
61,dog,fever;lethargy;loss_of_appetite;vomiting;diarrhea,Parvovirus
62,dog,diarrhea;loss_of_appetite;fever;lethargy;vomiting,Parvovirus
63,dog,diarrhea;fever;loss_of_appetite,Parvovirus
64,dog,diarrhea;vomiting;loss_of_appetite,Parvovirus
65,dog,vomiting;diarrhea;fever;loss_of_appetite,Parvovirus
66,dog,loss_of_appetite;vomiting;fever,Parvovirus
67,dog,fever;diarrhea;lethargy;loss_of_appetite;vomiting,Parvovirus
68,dog,fever;diarrhea;vomiting;lethargy,Parvovirus
69,dog,lethargy;fever;vomiting,Parvovirus
70,dog,fever;lethargy;loss_of_appetite;diarrhea;vomiting,Parvovirus
71,dog,lethargy;coughing;eye_discharge;fever,Distemper
72,dog,coughing;fever;eye_discharge,Distemper
73,dog,eye_discharge;coughing;lethargy,Distemper
74,dog,eye_discharge;lethargy;runny_nose;coughing,Distemper
75,dog,fever;runny_nose;eye_discharge,Distemper
76,dog,fever;eye_discharge;runny_nose,Distemper
77,dog,fever;eye_discharge;runny_nose;lethargy;coughing,Distemper
78,dog,coughing;eye_discharge;runny_nose;lethargy,Distemper
79,dog,lethargy;coughing;fever;runny_nose;eye_discharge,Distemper
80,dog,fever;eye_discharge;lethargy;runny_nose,Distemper
81,dog,eye_discharge;lethargy;coughing;fever,Distemper
82,dog,eye_discharge;fever;lethargy;runny_nose,Distemper
83,dog,coughing;fever;lethargy,Distemper
84,dog,coughing;runny_nose;eye_discharge;fever;lethargy,Distemper
85,dog,lethargy;fever;eye_discharge;runny_nose;coughing,Distemper
86,dog,coughing;lethargy;eye_discharge,Distemper
87,dog,eye_discharge;fever;coughing,Distemper
88,dog,lethargy;runny_nose;eye_discharge;fever;coughing,Distemper
89,dog,coughing;lethargy;runny_nose,Distemper
90,dog,coughing;lethargy;fever,Distemper
91,dog,runny_nose;fever;lethargy;coughing,Distemper
92,dog,runny_nose;lethargy;coughing,Distemper
93,dog,coughing;lethargy;runny_nose,Distemper
94,dog,runny_nose;eye_discharge;lethargy;coughing;fever,Distemper
95,dog,lethargy;coughing;runny_nose,Distemper
96,dog,runny_nose;fever;coughing,Distemper
97,dog,fever;lethargy;eye_discharge;coughing,Distemper
98,dog,eye_discharge;runny_nose;coughing;lethargy;fever,Distemper
99,dog,eye_discharge;coughing;fever,Distemper
100,dog,fever;coughing;lethargy;eye_discharge;runny_nose,Distemper
101,dog,fever;lethargy;runny_nose,Distemper
102,dog,coughing;fever;lethargy;runny_nose,Distemper
103,dog,runny_nose;eye_discharge;coughing;lethargy;fever,Distemper
104,dog,fever;eye_discharge;runny_nose;lethargy;coughing,Distemper
105,dog,coughing;fever;lethargy,Distemper
106,dog,eye_discharge;runny_nose;fever,Distemper
107,dog,eye_discharge;coughing;lethargy,Distemper
108,dog,coughing;runny_nose;eye_discharge,Distemper
109,dog,lethargy;coughing;eye_discharge,Distemper
110,dog,runny_nose;eye_discharge;coughing;fever;lethargy,Distemper
111,dog,fever;runny_nose;lethargy,Distemper
112,dog,fever;eye_discharge;runny_nose,Distemper
113,dog,runny_nose;coughing;fever,Distemper
114,dog,fever;eye_discharge;coughing;lethargy,Distemper
115,dog,coughing;lethargy;fever,Distemper
116,dog,fever;coughing;runny_nose;eye_discharge,Distemper
117,dog,eye_discharge;coughing;fever;runny_nose;lethargy,Distemper
118,dog,lethargy;coughing;fever,Distemper
119,dog,fever;coughing;lethargy,Distemper
120,dog,eye_discharge;runny_nose;coughing;fever;lethargy,Distemper
121,dog,lethargy;eye_discharge;fever;coughing;runny_nose,Distemper
122,dog,lethargy;fever;runny_nose;eye_discharge,Distemper
123,dog,eye_discharge;fever;coughing,Distemper
124,dog,coughing;fever;runny_nose;eye_discharge,Distemper
125,dog,lethargy;runny_nose;coughing,Distemper
